PM25,PM10,CO,NO,NO2,NOx,O3,PH_RAIN,RAINFALL,RH,SO2,TEMP,UVB,WIND_DIREC,WIND_SPEED
17,25,0.34,1.31,18.25,19.56,15.1,0,0,83.17,2.6,10.52,0,43.63,7.62
14,21,0.31,0.93,12.74,13.67,19.6,0,0,81.83,2.2,10.44,0,45.69,7.39
10,20,0.31,0.83,13.99,14.82,18.2,0,0,83.11,2.5,10.19,0,43.85,7.53
4,16,0.27,1.07,11.89,12.96,20.3,0,0,82.3,2.2,10.06,0,51.73,6.7
0,15,0.25,0.86,9.75,10.61,22.9,0,0,81.15,2.2,10.02,0,44.03,6.47
0,19,0.26,0.89,11.97,12.86,20.6,0,0,82.64,2.9,9.78,0,42.17,7.7
0,26,0.24,0.84,11.31,12.15,21.6,0,0,83.34,2.5,9.55,0,48.22,7.53
5,20,0.22,0.65,8.15,8.79,25.4,0,0,83.13,2.1,9.4,0,46.59,6.27
10,7,0.21,0.75,7.96,8.71,25.1,0,0,84.82,1.8,9.09,0,45.53,7.1
6,3,0.2,0.69,7.58,8.27,25.5,0,0,85.78,1.7,8.81,0,39.59,7.27
8,5,0.2,0.64,7.52,8.15,24.2,0,0,85.54,1.6,8.73,0,50.56,7.05
11,14,0.22,0.45,6.3,6.74,24.7,0,0,84.95,1.9,8.73,0,48,7.81
12,20,0.26,0.57,6.33,6.89,23.4,0,0,86.37,2.2,8.45,0,63.39,7.35
13,21,0.3,1.02,9.97,10.99,18.4,0,0,86.93,3,8.42,0,52.3,7.61
11,20,0.35,1.37,14.71,16.08,11.7,0,0,88.9,3.5,8.15,0.1,56.84,7.09
15,20,0.37,2.22,15.42,17.64,9.9,0,0,89.38,3.9,8.01,0.2,50.31,6.49
21,27,0.43,4.23,19.08,23.31,6.6,0,0.6,89.51,4.7,7.98,0.3,42.52,6.55
27,37,0.47,5.55,18.94,24.49,6.8,3.79,0.4,89.72,6.2,7.74,0.6,63.17,6.87
26,38,0.46,4.87,17.38,22.25,9.85,0,0,90.77,5.8,6.96,0.5,44.99,6.83
23,34,0.44,17.09,15.91,33,12.9,0,0,93.08,5.9,6.47,0.3,58.34,7.54
32,30,0.42,2.28,16.07,18.34,14.6,0,0,92.36,6.1,6.12,0.3,43.83,7.7
33,32,0.44,1.54,16.79,18.33,14.3,0,0,90.06,6.3,6.04,0.1,62.63,7.94
33,37,0.48,1.39,18.02,19.41,15.3,0,0.2,90.34,7.2,5.4,0,52.69,8.93
34,41,0.49,0.91,17.36,18.27,16.4,0,0,90.52,7.5,5.31,0,47.89,8.05
30,43,0.48,0.96,17.47,18.43,16.2,0,0,90.23,7,5.43,0,55.74,8.87
34,45,0.48,0.75,16.34,17.09,18.1,0,0,89.35,7.7,5.48,0,44.87,8.63
32,42,0.48,0.71,16.05,16.76,17.4,0,0,88.41,8,5.6,0,49.8,9.25
25,43,0.46,0.67,15.9,16.57,18.6,0,0,88.61,8,5.36,0,45.69,7.84
32,46,0.41,0.45,13.72,14.17,22.3,0,0,87.46,7.3,5.12,0,53.41,8.45
42,48,0.39,0.56,11.98,12.54,24.5,0,0,83.29,7.2,5.12,0,52.22,7.68
27,42,0.37,0.54,8.74,9.28,27.5,0,0,78.4,6.1,5.54,0,58.52,8.29
16,42,0.35,0.55,7.86,8.41,28.1,0,0,75.64,5.5,5.68,0,56.2,7.29
23,48,0.34,0.47,7.37,7.84,27.2,0,0,78.2,4.6,5.4,0,54.65,6.69
23,41,0.32,0.43,8.12,8.55,25.1,0,0,80.02,3.9,5.23,0,40.18,7.5
24,39,0.27,0.33,7.49,7.83,26.2,0,0,78.88,3.9,5.26,0,48,8.11
20,44,0.26,0.48,8.03,8.51,24.4,0,0,77.43,4.6,5.27,0,49.63,8.98
22,47,0.25,0.63,8.06,8.68,23.7,0,0,75.76,5.6,5.29,0,46.47,9.11
25,49,0.27,0.7,7.51,8.22,24.5,0,0,74.92,5.1,5.34,0.1,48.4,7.98
25,47,0.29,1.2,8.33,9.53,23.4,0,0,76.35,5.3,5.34,0.4,48.75,8.39
30,44,0.32,1.37,9.55,10.92,21.6,0,0,79,5.6,5.26,0.6,40.84,7.31
30,48,0.37,2.02,12.18,14.2,19,0,0,81.42,5.5,5.26,0.9,43.91,6.82
31,52,0.39,2.85,12.78,15.63,18.2,0,0,80.67,5.4,5.63,1.4,53.58,6.6
39,58,0.42,3.25,13.35,16.6,17.5,0,0,80.2,6,5.99,1.5,46.23,6.65
40,60,0.44,3.73,17.44,21.16,13.2,0,0,82.72,7.5,5.79,0.8,39.56,6.99
39,54,0.43,3.65,18.32,21.97,10.7,0,0,85.93,8.1,5.57,0.4,46.58,7.07
42,49,0.44,3.1,20.1,23.2,9,0,0,88.39,7.5,5.37,0.1,52.27,7.21
37,47,0.43,2.09,19.99,22.08,9.5,0,0,89.63,6.8,5.39,0,42.46,6.77
37,43,0.43,1.39,19.37,20.77,9.9,0,0,89.3,6.2,5.56,0,42.93,6.73
28,43,0.41,0.84,17.13,17.97,12.2,0,0,88.09,6.3,5.78,0,26.98,6.23
25,42,0.42,0.85,15.46,16.32,13.3,0,0,88.08,6,5.94,0,22.62,5.07
35,39,0.41,0.77,14.94,15.71,13.5,0,0,87.66,6.1,6.21,0,34.38,4.94
