PM25,PM10,CO,NO,NO2,NOx,O3,PH_RAIN,RAINFALL,RH,SO2,TEMP,UVB,WIND_DIREC,WIND_SPEED
71,57,0.42,1.09,10.345,11.58,24.7,0,0.2,84.695,1.8,21.85,0.3,199.565,3.26
74,66,0.44,1.81,14.01,15.82,23.6,0,0,86.61,1.5,21.72,0.7,200.84,2.51
103,55,0.28,1.26,5.24,6.5,30.7,0,0.2,77.62,1.2,23.33,4.7,193.49,5.78
112,46,0.28,1.18,4.29,5.47,35.3,0,0,70.92,1.3,24.62,4.3,195.1,4.68
80,49,0.3,0.89,6.23,7.12,38,0,0,70.57,1.3,24.79,3.7,190.01,5.08
57,47,0.3,0.98,6.91,7.89,41.8,0,0,71.28,1.2,25.27,2.7,194.7,3.51
66,45,0.29,1.15,10.68,11.82,34.3,0,0,71.99,1.7,24.76,1,236.16,2.16
76,41,0.27,2.69,12.17,14.86,26.8,0,0,75.98,3,24.79,1.5,189.33,3.8
79,41,0.23,1.32,10.12,11.44,30.2,0,0,75.545,3.1,24.43,0.4,195.035,3.95
82,71,0.3,1.32,15.97,17.29,27.4,0,0,75.11,2.3,23.96,0.1,200.74,3.22
85,70,0.29,1.2,16.55,17.75,15.5,0,0,83.07,1.7,22.71,0,180.355,2.17
87,47,0.38,1.14,22.62,23.76,12.4,0,0,89.17,3.1,22.15,0,186.06,1.88
91,57,0.37,1.62,22.31,23.93,10.2,0,0,90.03,2.7,22.33,0,178.72,1.21
94,52,0.32,1.16,18.36,19.52,7.1,0,0,89.32,2.5,22.36,0,171.38,0.54
99,40,0.28,1.46,15.17,16.63,7.5,0,0,88.19,2.3,22.24,0,128.5,0.52
102,33,0.23,0.78,8.96,9.74,13.2,0,0,89.09,1.2,21.92,0,56.25,1.96
103,40,0.55,0.48,12.83,13.31,19.2,5.71,0.8,96.71,1.1,19.58,0,81.035,1.83
87,49,0.61,0.41,14.7,15.11,17.7,0,0,99.63,1,18.97,0,57.3025,1.645
59,39,0.71,0.38,13.97,14.35,19.3,0,0,99.63,1.1,18.27,0,33.57,2.3
49,35,0.7,0.46,13.29,13.75,20.9,0,0,99.63,1.3,17.53,0,32.68,2.535
45,36,0.64,0.44,11.6,12.03,22.4,0,0,99.63,1.6,17.11,0,31.79,2.77
41,34,0.55,0.51,11.41,11.91,22.9,0,0,99.63,1.5,16.6,0,28.03,3.31
34,31,0.49,0.7,9.08,9.79,25.3,0,0,99.62,1.4,16.23,0.1,26.685,2.105
32,28,0.5,1.06,9.05,10.12,24.1,0,0,99.62,1.4,16.49,0.6,25.34,1.7725
35,32,0.52,4.795,10.74,19.06,13.3,0,0,90.64,1.9,19.8,1.5,127.49,1.44
41,47,0.4,8.53,12.43,20.96,15,0,0,81.66,3.9,22.49,3.6,229.64,2.27
37,58,0.44,7,15.24,22.24,21.1,0,0,78.56,2.7,22.71,4.6,37.27,2.76
27,61,0.53,8.07,21.56,29.63,26.5,0,0,76.32,3.5,22.36,6,45.8,3.45
27,73,0.57,7.5,24.96,32.45,34.8,0,0,73.3,4.3,22.88,5.9,33.07,2.83
29,93,0.6,4.62,24.86,29.47,44.1,0,0,73.5,4.2,22.6,4.1,50.45,2.83
27,102,0.58,2.77,22.39,25.16,51.8,0,0,75.79,3.8,21.44,2.5,41.25,3.17
25,121,0.59,1.85,25.44,27.29,48.8,0,0,78.08,5.3,20.28,0.9,43.05,3.64
27,142,0.58,1.29,26.28,27.57,40.3,0,0,80.92,5.5,19.09,0.3,37.62,2.47
29,143,0.59,1.12,28.16,29.28,33.9,0,0,83.76,5.7,18.61,0.1,32.19,2.51
27,145,0.63,0.92,28.06,28.98,26.9,0,0,86.19,5,17.97,0,33.94,2.01
26,140,0.62,0.77,31.77,32.54,18.2,0,0,89.14,4.5,17.37,0,32.1,3.205
36,128,0.58,0.86,26.71,27.57,16.6,0,0.2,91.77,3.3,16.96,0,30.26,3.5525
37,112,0.56,0.87,23.94,24.81,15.7,4.38,2.4,94.7,2.5,16.04,0,37.16,3.9
24,85,0.54,0.64,21.01,21.66,18.2,4.33,0.6,96.99,2.3,15.55,0,34.06,2.95
15,57,0.5,0.62,19.99,20.61,18.8,4.26,0.8,99.62,1.7,15.13,0,33.78,3.38
24,38,0.39,0.54,16.28,16.82,25,0,0.4,99.62,1.5,14.67,0,35.655,3.6525
28,25,0.27,0.51,12.66,13.17,32.1,0,0,99.62,1.3,14.27,0,36.4525,4
20,15,0.21,0.51,11.87,12.38,39.2,0,0,99.62,1.2,13.58,0,37.25,3.74
18,10,0.21,0.37,10.01,10.38,38.8,4.2,0.6,99.62,1.1,13.16,0,39.845,4.05
20,11,0.2,0.47,11.06,11.53,38.4,4.12,1,99.62,0.9,12.78,0,42.44,4.075
18,16,0.2,0.42,11.95,12.37,38,4.3,2,99.62,1,12.37,0,34.37,4.1
15,16,0.21,0.51,10.65,11.17,37.6,4.34,0.8,99.62,0.9,12.11,0.1,35.115,3.6175
15,10,0.24,0.55,12.26,12.82,35.4,4.52,0.4,99.62,0.9,12.17,0.1,35.86,3.38875
21,9,0.24,0.58,10.68,11.26,36,4.49,1,99.62,0.9,12.295,0.4,33.91,3.16
29,11,0.27,1.07,16.47,17.54,30.6,0,0,99.62,0.9,12.42,0.6,31.96,4.01
35,12,0.27,1.14,15.95,17.09,28.9,0,0.2,99.62,0.9,12.51,0.6,40.76,3.81
40,13,0.28,1.51,17.3,18.82,29.1,4.47,0.4,99.62,1.2,12.61,0.9,36.39,5.01
49,16,0.29,1.57,16.61,18.19,31.2,0,0,99.62,1.3,12.83,1.3,38.59,4.4
58,26,0.34,2.42,22.73,25.15,27.4,0,0,99.62,2.1,12.97,1.2,46.02,4.78
64,29,0.31,1.87,17.83,19.7,30.4,0,0,99.36,1.7,13.15,0.8,36.92,4.14
70,26,0.33,1.67,19.09,20.77,28.4,0,0,99.1,1.5,13.33,0.8,41.12,3.82
78,26,0.33,2,24.84,26.84,23.5,0,0,99.36,1.6,13.23,0.2,40.3,4.22
79,26,0.34,1.07,22.81,23.88,22.8,0,0,99.62,1.7,13.09,0.1,39.48,3.91
82,27,0.32,0.49,18.59,19.07,23.7,0,0,99.62,1.5,13.02,0,33.76,3.64
82,23,0.32,0.38,18.85,19.23,19.8,0,0,99.62,1.3,13.06,0,38.24,3.9
77,25,0.32,0.77,20.76,21.53,16.4,0,0,99.62,1.2,13.08,0,37.62,4.16
68,26,0.27,0.48,15.42,15.91,23,0,0.2,99.62,1,12.86,0,37,3.87
57,20,0.25,0.36,11.91,12.27,29.9,0,0,99.62,0.9,12.73,0,31.54,4.13
42,18,0.23,0.22,12.39,12.6,29.2,0,0,99.62,1.1,12.63,0,34.39,4.115
26,24,0.22,0.24,12.19,12.44,29.2,0,0,99.37,1.2,12.56,0,41.795,4.1
17,28,0.22,0.19,15.47,15.65,35.95,0,0,94.29,1.3,12.6,0,46.9225,5.34
8,31,0.23,0.22,13.76,13.98,35.6,0,0,92.75,1.4,12.68,0,52.05,5.4625
9,37,0.3,0.23,11.13,11.36,38.8,0,0,92.4,2,12.65,0,48.775,6.075
8,34,0.32,0.37,8.87,9.25,42,0,0.2,88.73,1.8,12.56,0,45.5,6.4425
5,32,0.32,0.48,9.13,9.6,43.5,0,0,89.15,2.1,12.23,0,41.36,6.81
6,31,0.31,0.54,10.76,11.31,41,0,0,88.14,2.3,12.1,0.1,43.365,6.6375
5,31,0.3,0.73,10.33,11.06,42.2,0,0,85,2.5,12.27,0.8,45.37,7.005
5,37,0.3,1.3,10.72,11.55,43.6,0,0,79.48,2.4,13.03,2.6,48.45,7.1025
6,39,0.28,1.93,10.11,12.04,45.5,0,0,72.09,2.1,14.39,4.9,51.53,7.2
6,43,0.26,1.39,8.17,9.56,51.7,0,0.2,65.8,1.7,15.84,7.3,53.41,7.11
8,52,0.27,1.14,8.43,9.57,56.3,0,0,61.49,1.9,17.1,8.6,48.48,7.51
14,63,0.27,1.16,9.55,10.71,57.9,0,0,59.64,2.4,17.81,8.7,52.84,6.43
17,66,0.27,1.17,10.45,11.63,59.1,0,0,56.99,3.1,18.59,7.4,46.62,5.68
19,66,0.27,1.09,11.54,12.63,64.7,0,0,54.74,3.5,19.37,5.1,53.97,4.87
19,74,0.3,0.96,14.21,15.17,69,0,0,52.49,4.8,19.09,2.7,43.09,4.88
23,84,0.32,1.16,16.93,18.08,67.2,0,0,57.575,4.7,18.56,1,39.695,4.15
25,84,0.34,0.87,15.94,16.81,62.9,0,0,62.66,4.3,17.29,0.2,36.3,3.99
22,82,0.34,0.35,12.96,13.32,62.6,0,0,68.87,4,15.85,0,36.635,3.695
18,85,0.36,0.39,13.79,14.18,56.4,0,0,73.11,4,15.1,0,33.24,3.4
11,88,0.37,0.44,13.47,13.92,51.1,0,0,75.95,3.5,14.61,0,31.71,3.17
7,90,0.39,0.34,13.44,13.78,45.5,0,0,78.41,3.3,14.15,0,30.18,2.59
12,93,0.47,0.52,24.38,24.91,30.8,0,0,80.84,3.1,13.89,0,31.13,2.01
17,92,0.43,0.49,20,20.49,27.6,0,0,81.19,2.4,14.64,0,16.96,1.37
14,76,0.4,0.56,16.26,16.82,32.2,0,0,78.3,2.3,16.66,0,107.345,0.73
14,60,0.36,3.9,19.98,23.89,29.3,0,0,83.97,2.8,17.16,0,145.4525,0.675
15,63,0.47,1.63,21.7,23.33,18.15,0,0,86.31,2.3,17.16,0,183.56,0.62
18,81,0.58,0.52,20.99,21.51,11.125,0,0,87.92,2.3,17.05,0,244.2,0.7625
16,98,0.78,9.13,38.66,47.79,4.1,0,0,85.76,4.6,17.12,0,304.84,0.80625
17,108,0.71,9.45,39.01,48.46,9.4,0,0,85.29,3.4,17.26,0,2.38,0.85
21,103,0.71,19.93,38.85,58.78,5.3,0,0,88.26,2.7,17.07,0.1,10.61,1.645
19,97,0.72,33.08,36.61,69.68,6.5,0,0,86.36,3,17.43,0.8,18.84,2.44
20,97,0.52,17.45,24.88,42.325,32.6,0,0,77.965,2.9,19.26,2.1,33.9,1.85
23,92,0.47,1.82,13.15,14.97,51.1,0,0,69.57,2.8,21.13,4,231.07,1.38
27,81,0.44,3.01,14.26,17.28,48.9,0,0,60.64,2.6,23.14,6.1,188.55,2.63
30,87,0.54,2.26,18.39,20.64,67.7,0,0,58.76,4.3,24.11,6.3,186.72,3.07
35,95,0.5,1.4,16.29,17.69,81,0,0,56.53,3.7,24.74,7.1,286.48,1.9
38,90,0.5,1.4,16.22,17.62,85.8,0,0,62.86,4,24.52,5.9,284.05,2.1
40,95,0.51,1,17.21,18.21,96.1,0,0,64.91,4.4,23.9,3,311.7,2.58
42,109,0.58,0.88,22.78,23.66,91.2,0,0,66.96,6.6,21.79,0.9,285.89,1.67
48,106,0.47,0.75,18.55,19.3,85.1,0,0,69.195,4.4,21.58,0.6,237.21,1.1
51,94,0.47,1.07,18.27,19.34,75.3,0,0,71.43,3.3,21.21,0.1,188.53,0.65
50,91,0.53,0.78,15.2,15.98,67.2,0,0,77.1,2.6,20.17,0,237.25,0.59
52,95,0.55,0.5,14.79,15.28,47.1,0,0,82.58,2,19.64,0,188.57,0.55
58,91,0.58,2.63,25.43,28.06,31.1,0,0,83.55,2.1,19.29,0,188.59,0.51
59,76,0.55,1.35,30.97,32.32,18.2,0,0,85.53,2,18.89,0,188.61,0.45
59,77,0.5,1.25,25.44,26.68,23.1,0,0,85.81,2.4,18.74,0,177.77,0.49
60,79,0.49,0.56,16.17,16.72,34.4,0,0,86.36,2.9,18.41,0,227.66,0.89
49,85,0.47,0.65,13.48,14.13,38.7,0,0,86.32,2.5,18.44,0,187.95,1.09
41,94,0.48,0.39,17.96,18.35,27.9,0,0,90.21,2.3,18.26,0,193.04,1.225
46,95,0.47,0.53,14.53,15.06,25.85,0,0,92.64,2.4,18.35,0,198.13,1.36
54,99,0.43,0.91,15.28,16.19,19.425,0,0,92.51,2,18.43,0,119.27,1.13
64,101,0.46,18.54,33.08,51.62,13,0,0,92.26,2.2,18.38,0,40.41,1.05
72,103,0.51,4.73,26.13,30.86,11.8,0,0,92.29,1.8,18.23,0,245.97,0.97
74,105,0.61,12.35,26.15,38.5,6.5,0,0,91.8,2,18.22,0.1,224.91,0.92
73,102,0.48,4.68,20.94,25.62,14,0,0,91.45,2.8,18.53,0.3,203.85,1.46
70,117,0.42,3.32,19.685,23.56,20.9,0,0,87.965,2.8,19.25,0.8,220.4,2.11
66,127,0.46,3.06,18.43,21.5,31.6,0,0,84.48,2.6,19.97,2.9,236.95,1.85
53,120,0.47,3.13,19.18,22.31,44.2,0,0,74.76,3.5,21.27,5,183.36,2.54
51,102,0.36,1.34,10.33,11.67,65,0,0,63.23,3.1,23.12,8.2,201.6,1.72
54,90,0.46,1.66,17.57,19.24,81,0,0,60.51,5,24.2,7.6,217.44,2.52
54,99,0.43,1.46,17.56,19.02,82.1,0,0,68.855,2.9,23.08,6.1,296.6,2.15
64,95,0.31,1.5,12.95,14.45,62.1,0,0,77.2,2.6,21.96,4,34.83,4.22
72,94,0.32,1.29,12.97,14.26,57.5,0,0,81.92,2.1,20.86,2.3,57.15,3.26
65,111,0.37,1.09,18.69,19.79,49.6,0,0,85.395,2.3,19.86,0.6,46.695,2.9
55,124,0.4,0.66,13.52,14.18,47.2,0,0,88.87,1.8,19.1,0.1,36.24,2.17
56,139,0.45,0.59,15.57,16.16,40.1,0,0,90.14,2.2,18.89,0,46.79,2.62
59,145,0.48,0.45,25.78,26.22,29.5,0,0,92.47,2.5,18.33,0,36.335,3.32
59,137,0.43,0.48,21.51,21.99,28.5,0,0,93.48,2.8,17.92,0,36.3825,3.29
54,136,0.42,0.59,17.32,17.91,28.5,0,0.4,94.21,2.6,17.91,0,36.43,2.105
53,127,0.45,0.46,19.43,19.89,21.4,0,0,95.14,2,18.1,0,36.5,1.4975
55,110,0.48,1.24,25.9,27.14,17.5,0,0,93.98,1.7,18.67,0,242.23,0.89
60,91,0.47,0.98,23.15,24.14,22,0,0,91.63,1.4,19.67,0,37.405,1.21
58,79,0.47,5.64,25.55,31.2,10.4,0,0,93.06,1.2,19.51,0,37.8575,1.58
53,89,0.51,2.04,31.17,33.2,5.1,0,0,97.02,4,18,0,38.31,3.07
59,107,0.54,0.84,34.15,35,4.6,0,0,99.63,5.2,17.55,0,31.47,2.64
62,119,0.57,2.38,31.34,33.73,5.9,0,0,99.63,3.7,17.61,0,24.63,2.21
70,118,0.58,6.91,32.23,39.14,3.6,0,0,99.63,3.8,17.63,0,35.55,2.53
74,110,0.63,9.66,32.05,41.71,3.5,0,0,99.62,3.8,17.7,0.1,36.345,3.17
67,83,0.54,5.32,24.06,29.38,9.8,0,0,99.62,3.3,17.73,0.4,37.14,3.115
74,39,0.32,1.36,21.815,14.83,25.3,0,0,98.73,1.7,17.76,1.2,36.32,3.4075
80,34,0.44,8.1,19.57,27.66,21,0,0,97.84,2.1,18.74,3.3,35.5,3.7
75,43,0.35,4.79,18.82,23.61,25.3,0,0,99.62,1.7,17.53,2.9,36.53,3.65
59,42,0.36,3.44,17.61,21.04,30.4,0,0,99.62,1.6,17.26,2.8,44.12,5.16
51,35,0.34,2.56,16.86,19.42,34.5,0,0,99.62,1.6,16.43,2.7,37.38,5.03
58,25,0.3,1.94,13.34,15.28,37.9,0,0,97.48,1.4,16.5,2.6,41.58,4.11
52,27,0.28,1.21,14.1,15.3,36.8,0,0,96.41,1.5,16.51,1.3,39.77,5.74
52,29,0.29,1.5,17.61,19.12,32,0,0,95.34,1.5,15.9,0.9,36.76,3.92
61,28,0.29,1.11,16.4,17.51,31.5,0,0,96.13,1.4,15.5,0.3,39.125,4.65
71,26,0.3,0.5,17.7,18.21,29.6,0,0,95.67,1.3,15.28,0.1,41.49,4.66
85,27,0.29,0.17,17.24,17.41,29.1,0,0,97.81,1.4,14.89,0,40.29,4.58
86,24,0.27,0.17,15.985,16.155,30.4,0,0,99.62,1.5,14.48,0,37.62,4.76
77,23,0.3,0.17,14.73,14.9,27.2,0,0,99.62,1.7,14.37,0,35.685,4.94
70,24,0.3,0.3,15.69,15.99,25.2,0,0,99.62,2,14.21,0,33.75,4.33
61,23,0.27,0.05,12.07,12.12,29.7,0,0,99.62,1.9,13.91,0,36.7,3.785
58,24,0.29,0.21,13.62,13.83,24.2,0,0.2,99.62,1.6,14.19,0,31.57,3.75
55,25,0.26,0.23,14.06,14.29,23.9,0,0,99.62,1.5,14.08,0,37.625,3.93
51,24,0.24,0.285,13.425,13.71,27.45,0,0,99.63,1.2,13.9,0,38.0875,3.3525
58,19,0.24,0.3225,13.3275,13.65,31,0,2.8,99.63,1.3,13.89,0,38.55,3.425
59,14,0.25,0.36,13.23,13.59,34.1,0,2,99.63,1.5,13.78,0,38.48,3.1725
55,12,0.21,0.42,10.31,10.73,37.2,0,12.6,99.63,1.3,13.62,0,38.41,2.92
54,13,0.23,0.54,11.25,11.79,31.6,0,1.8,99.63,1.2,13.85,0,13.23,2.38
45,12,0.31,0.66,16.33,16.98,26.3,0,0.6,99.63,1.2,14.82,0.1,24.135,3.335
33,12,0.26,1.09,14.08,15.17,26.6,0,0,99.62,1.4,14.46,0.3,35.04,3.5425
16,15,0.27,1.2,14.29,15.515,29.1,0,0,99.62,1.4,14.375,0.8,37.265,3.75
20,18,0.26,1.36,14.5,15.86,31.8,0,0,99.62,1.4,14.29,1.4,39.49,5.28
31,19,0.26,1.09,13.4,14.49,36.4,0,0,99.62,1.8,14.33,1.6,39.17,5.11
29,22,0.26,1.36,12,13.36,36.6,0,0,99.62,1.7,14.66,2.1,37.79,3.91
26,22,0.24,1.65,11.78,13.43,36.2,0,0,99.63,1.4,14.59,2.2,56.04,5.74
21,21,0.24,1.37,13.34,14.71,39.8,0,0,98.3,1.7,14.12,1.8,43.52,5.74
16,24,0.22,0.79,12.88,13.68,41.5,0,0,97.64,1.4,13.85,1.1,37.31,6.07
16,19,0.24,0.53,12.63,13.16,40.1,0,0,96.98,1.4,13.58,0.5,35.69,6.33
18,14,0.26,0.87,12.85,13.72,39.6,0,0,94.27,1.4,13.44,0.3,43.01,6.76
18,16,0.26,0.76,12.96,13.72,40.9,0,0,91.56,1.5,13.46,0.1,37.22,6.94
20,16,0.26,0.2,12.38,12.58,41.6,0,0,92.5,1.6,13.08,0,41.51,6.72
19,18,0.26,0.14,11.44,11.58,42.5,0,0,92.22,2,12.77,0,40.76,6.81
17,20,0.25,0.3,10.975,11.275,42.4,0,0,91.59,1.9,12.71,0,40.01,6.9
14,20,0.23,0.46,10.51,10.97,41.6,0,0,91.27,1.8,12.68,0,39.23,6.54
13,19,0.23,0.33,10.59,10.92,40.6,0,0,91,1.8,12.65,0,43.4,5.42
13,17,0.23,0.24,10.005,10.24,40.1,0,0,91.65,1.8,12.59,0,38.1,5.725
14,14,0.21,0.13,9.7525,9.875,40.9,0,0,91.78,1.6,12.43,0,36.2,5.66
9,13,0.2,0.02,9.5,9.51,43.45,0,0,90.19,1.3,12.34,0,39.305,5.525
9,13,0.19,0.35,7.16,7.51,46,0,0,86.62,1.5,12.45,0,42.41,5.1175
9,13,0.19,0.39,6.41,6.8,44.75,0,0,86.98,1.6,12.35,0,39.03,5.0175
5,15,0.19,0.23,6.78,7.01,43.5,0,0,88.36,1.3,12.44,0,35.65,4.76375
2,18,0.2,0.53,8.12,8.65,41.3,0,0,88.34,1.2,12.56,0,31.11,4.51
4,23,0.23,0.83,10.33,11.16,38.1,0,0,90.35,1.2,12.57,0.1,32.475,5.05
7,20,0.26,0.71,10.06,10.77,40,0,0,89.35,1.1,12.7,0.4,33.84,5.59
7,15,0.29,1.08,10.39,11.87,40.5,0,0,86.09,1.4,13.19,1.4,38.715,5.41
4,19,0.29,1.45,11.52,12.97,40,0,0,82.83,1.6,13.68,2.3,43.59,5.59
8,25,0.28,2.02,13.7,15.72,38.7,0,0,82.34,1.7,13.79,3.5,33.98,5.77
11,28,0.26,1.79,9.55,11.34,42.9,0,0,79.53,1.7,14.61,6.1,37.84,5.04
14,30,0.27,2,9.42,11.42,45.6,0,0,75.25,1.7,16.04,9.7,38.64,6.68
16,34,0.28,1.85,10.54,12.39,49.7,0,0,78.64,1.8,14.9,7.2,48.25,6.97
17,35,0.29,1.72,10.95,12.67,49.6,0,0,78.195,1.7,15.045,5,49.28,7.06
14,39,0.31,1.45,11.33,12.78,47.1,0,0,77.75,1.6,15.19,2.5,38.55,5.07
8,44,0.33,1.56,11.78,13.34,44.8,0,0,81.185,1.4,14.88,1,41.085,4.84
9,41,0.35,0.72,12.15,12.87,42.7,0,0,84.62,1.3,13.86,0.2,43.62,4.61
13,40,0.41,0.53,18.07,18.61,34.6,0,0,88.49,2.2,13.25,0,37.42,4.92
14,41,0.38,0.41,15.9,16.31,34,0,0,89.96,1.8,12.94,0,38.93,4.825
14,38,0.37,0.46,13.33,13.79,37,0,0,90.11,1.4,12.89,0,36.585,4.73
8,37,0.37,0.41,13.49,13.89,35.7,0,0,90.97,1.4,12.82,0,34.24,4.525
3,36,0.35,0.54,10.86,11.4,37.2,0,0,91.73,1.2,12.71,0,33.45,4.6325
8,36,0.32,0.37,7.68,8.06,40.5,0,0,91.42,1.4,12.7,0,33.11,4.4825
6,41,0.31,0.29,6.86,7.16,41.65,0,0,91.22,1.5,12.7,0,36.41,4.46125
4,43,0.31,0.46,8.16,8.62,41.75,0,0,90.12,1.4,12.76,0,37.89,4.44
4,46,0.29,0.31,8.73,9.04,43.975,0,0,90.04,1.6,12.8,0,39.37,5.055
4,54,0.3,0.54,8.3,8.84,45.1375,0,0,89.23,1.7,12.83,0,38.57,5.67
9,53,0.29,0.37,8.59,8.95,46.3,0,0,86.75,2,12.95,0,37.77,4.685
10,48,0.29,0.62,10.06,10.68,42.2,0,0,87.63,2.1,12.84,0,37.58,3.7
10,44,0.3,0.63,12.44,13.07,40,0,0,88.05,1.8,12.65,0.1,38.45,5.4225
8,42,0.33,1.05,10.31,11.36,44.2,0,0,84.92,1.8,13.37,1.1,39.32,5.79125
6,42,0.33,1.84,10.385,12.67,42.8,0,0,83.16,1.8,14.01,2.2,41.32,6.16
8,48,0.32,1.32,10.46,11.79,45.4,0,0,81.4,2.1,14.22,3,43.32,6.405
13,50,0.3,1.53,10.1475,11.9,51.6,0,0,73.69,2.3,15.7,7.2,43.09,6.65
17,54,0.31,1.375,10.02875,11.515,50.8,0,0,69.38,2.45,16.83,8.8,56.59,6.94
15,58,0.33,1.22,9.91,11.13,56.6,0,0,67.82,2.625,17.25,9.6,50.34,7.2
15,63,0.35,1.8,12.08,13.88,57.3,0,0,68.305,2.8,17.325,8.2,53.47,8.06
20,77,0.36,1.46,11.49,12.95,62.9,0,0,68.79,1.9,17.4,5.6,48.27,8.36
21,70,0.38,1.15,12.39,13.54,61.9,0,0,71.03,2.1,16.75,3,52.52,6.665
18,56,0.35,1.51,14.07,15.58,50.1,0,0,73.8,2.5,16.03,1.1,44.925,5.9675
20,57,0.36,1.01,15.1,16.11,43.6,0,0,78.59,1.6,14.85,0.2,37.33,5.27
28,52,0.29,0.15,12.94,13.09,42.8,0,0,80.23,1.4,13.76,0,36.51,5.87
29,48,0.26,0.28,10.34,10.62,45.6,0,0,79.16,1.7,13.21,0,34.385,5.1725
22,45,0.25,0.41,10.76,11.17,42.4,0,0,81.71,2.4,12.74,0,32.9125,4.475
24,44,0.24,0.15,7.2,7.35,44.5,0,0,83.44,2.1,12.35,0,31.44,4.42625
24,47,0.24,0.31,6.45,6.77,46.3,0,0,83.97,1.9,12.07,0,33.88,4.053125
25,46,0.24,0.27,5.8,6.07,46.6,0,0,84.48,1.6,12.05,0,42.24,3.68
27,43,0.22,0.2,5.13,5.33,45.9,0,0,84.78,1.4,12.03,0,34.605,3.86
26,42,0.21,0.22,4.76,4.98,45.1,0,0,84.81,1.4,11.98,0,34.9675,4.1165625
27,41,0.23,0.29,4.8,5.09,44.9,0,0,84.73,1.4,12.04,0,35.33,4.02
33,39,0.23,1.53,4.61,6.14,44.4,0,0,82.73,1.4,12.39,0,36.925,4.1
34,40,0.23,1.09,5.02,6.11,43.9,0,0,82.74,1.2,12.51,0,38.52,4.18
24,46,0.24,1.09,4.1,5.19,50.4,0,0,81.04,1.2,12.73,0,33.22,3.59
23,51,0.25,1.19,4.36,5.55,49.7,0,0,80.63,1.2,12.87,0.2,34.56,4.4
25,57,0.28,1.39,7.09,8.48,51.7,0,0,76.78,1.5,13.72,0.9,39.74,5.21
27,60,0.29,1.87,7.36,9.23,52.1,0,0,72.925,1.7,15.04,2.6,43.695,3.95
33,59,0.29,1.78,6.29,8.08,53.2,0,0,69.07,1.7,15.94,4.1,47.65,5.81
30,62,0.3,2.18,8.22,10.4,53.8,0,0,65.49,2,16.76,6.4,46.75,7.1
31,66,0.31,2.05,7.77,9.83,57.6,0,0,62.4,2,17.79,7.3,56.45,7.19
33,77,0.33,2.15,9.14,11.29,63,0,0,61.57,2.5,18.22,8,64.49,7.74
37,89,0.33,1.68,8.31,9.99,64.8,0,0,62.54,2.4,17.89,6.8,60.48,7.76
41,90,0.34,1.65,7.98,9.63,61.1,0,0,63.51,2.3,17.13,4.7,47.72,8.35
39,90,0.37,1.92,9.2,11.12,57.9,0,0,65.71,2.3,16.76,2.8,45.21,6.18
37,89,0.38,1.71,9.51,11.22,54.8,0,0,68.555,2,15.97,0.9,41.145,6.37
36,89,0.4,1.53,9.89,11.43,54.5,0,0,71.4,1.9,14.67,0.2,37.08,6.35
32,86,0.4,1.28,9.97,11.25,54.1,0,0,74.65,1.6,13.67,0,41.06,6.055
27,77,0.38,1.28,8.71,9.99,54,0,0,78.57,1.4,13.08,0,36.995,5.8975
29,60,0.38,1.22,9.98,11.2,52.1,0,0,82.92,1.3,12.54,0,36.9525,5.74
30,47,0.36,1.25,9.07,10.33,53.8,0,0,82.99,1.3,12.34,0,36.91,5.9
29,45,0.33,1.18,8.17,9.35,54.7,0,0,82.67,1.3,12.04,0,42.73,5.69
29,46,0.31,1.23,7.04,8.27,54.6,0,0,83.39,1.2,11.68,0,38.51,5.48
27,47,0.3,1.07,7.02,8.09,51.75,0,0,83.48,1.1,11.64,0,42.02,5.3
22,47,0.28,1.09,4.69,5.79,53.05,0,0,82.65,0.9,11.45,0,41.415,5.09
22,45,0.28,1.11,4.49,5.6,51.575,0,0,80.73,1,11.46,0,40.81,4.895
22,44,0.26,0.28,4.11,4.38,51.4875,0,0,79.26,1,11.42,0,32.87,4.7
23,42,0.26,0.45,4.62,5.07,51.4,0,0,78.67,1.7,11.49,0,40.73,4.45
28,38,0.25,0.26,4,4.26,52.6,0,0,78.93,1.7,11.42,0,30.28,4.2
32,35,0.26,0.35,7.16,7.52,47.4,0,0,80.45,1.7,11.45,0.2,33.105,4.06
35,35,0.27,0.44,4.69,5.14,50.3,0,0,79.76,1.7,11.74,0.5,35.93,3.865
34,37,0.28,0.62,5.08,7.675,50.2,0,0,76.155,2,12.44,1.9,40.645,3.67
35,48,0.32,1.26,8.95,10.21,47,0,0,72.55,2.3,13.95,4.2,45.36,4.05
36,54,0.33,1.36,8.36,9.71,50.1,0,0,66.57,2.3,15.86,6.2,55.75,4.43
39,53,0.34,1.46,8.49,9.96,53.5,0,0,64.49,2.3,16.98,6.8,50.95,4.7
44,52,0.35,1.43,9.99,11.42,55.7,0,0,62.11,2.3,18.21,7.4,54.6,2.45
48,54,0.35,1.33,10.98,12.32,58.7,0,0,61.3,2.3,19.28,5.2,47.95,3.84
54,58,0.36,1.78,15.19,16.97,54.4,0,0,64.995,3.1,17.88,3.3,50.85,4.72
61,59,0.35,1.87,14.83,16.7,49.6,0,0,68.69,2.7,16.48,1.7,42.6,3.66
63,56,0.35,0.93,11.87,12.8,50.9,0,0,71.59,2.3,16.05,0.8,39.85,3.19
